user_id,avg_state
11607108,2
0,2
23,2
617,3
8353189,1
634019876,2
53,4
822738,4
8035831,2
930362,2
188,2
359849,3
4386796,2
931960,3
31,3
5141461,2
12611127,1
77770,3
852431840,1
6843,4
693050,2
516392,3
3143853,4
383197,3
1280356,3
5,3
56,2
9,1
6552,2
21,3
78633,2
810942833,4
1,2
297400,3
896938087,2
933987410,4
1665,4
73,3
144522,3
27195548,2
2882,3
51600,4
676,1
99,3
955274380,2
24,3
7134,2
9587930,3
99250,1
95,3
31360,4
3,2
29,1
127038326,3
699715,4
60792,2
6908659,3
2077410,1
44552467,4
743,3
46974005,3
504,1
6,4
40576942,3
9004,4
63818245,3
12021773,2
814,4
327,1
2082,3
2179330,2
298,1
3526,3
4170,3
52,3
38629979,3
48,3
512578,3
2169213,4
2355,4
123796361,3
12820763,2
30091137,2
2443,2
2,2
476259,2
44,4
89597,3
483399,3
6883,3
86635575,3
42,3
4,2
82711930,4
9802434,2
800,3
525769,1
93548209,2
94116169,3
175649,4
82952890,2
95395966,2
2545,3
8,2
2039,3
434496,3
163423,3
585944090,3
82008,4
483332092,3
5573,3
202836,3
3430,4
5071,3
6207297,4
7549492,4
8632949,2
107882,4
4252,3
64,1
89383,2
655,2
7698,4
842,2
5449415,4
7745285,3
51,1
415492760,2
7346,1
739742,4
686591,3
7482415,4
6874,3
3608,3
68225,1
109,4
47313,4
331,1
652528,4
5070,3
4237745,3
4258,2
1622,3
694628062,2
259,3
581,2
50157,4
449903,2
7512486,4
15495561,4
83918525,2
883437233,2
39051574,2
338552,1
7656239,2
814480408,1
26065628,3
59103632,3
8734,2
3342,2
6558,2
524,2
235,4
838958,3
76,2
693119,2
97212,3
96,4
840,4
7425492,3
287983431,3
571,2
31624528,3
23251259,4
9331678,2
663396,2
779855,1
94544,2
3133614,2
374,3
9346,2
577,3
2592,3
510445,2
750,3
5794235,2
8854320,1
6514,4
3410454,4
74004288,4
4588,4
604424149,1
5976556,4
9387,2
71,2
23186926,2
90,3
710879843,3
620208233,2
1758,4
677261319,2
825085767,4
41028,4
99862,3
36255494,3
6615148,3
8832457,4
81,2
3104,3
494,1
8620839,3
8671566,2
79,3
91846655,3
718,4
250813118,3
19,2
789,4
781,2
817051972,1
844,2
30941,2
82532078,2
16764798,3
15,3
250642697,2
93,3
507,2
84165039,3
410347,4
32754064,4
91657969,2
9569,2
81265892,2
2483513,2
2486,1
38409,4
74589439,2
176,2
2827,2
258451143,1
63,3
741,2
332,1
817093,3
199677633,4
70918,4
209327,4
19522224,4
468891,3
32,4
484022,2
299328,1
72473986,1
19053,2
45975,3
78653546,2
6902,2
638735,3
4839,3
22,4
56994300,3
9723816,3
89,3
72399065,2
333,3
64916,3
296580558,2
3584443,3
646127017,2
477534,2
118675,2
555,4
20,2
3408,2
99812346,3
4141,4
262587571,1
346168,3
745,2
806974910,1
9814,2
300281997,3
32476,4
49392671,2
699641,2
16,4
939,3
3399163,3
15929,2
414355359,4
839095,2
82953576,1
7486957,2
726,2
812,2
38607,3
5971306,2
58451209,2
337414,2
937,1
395162876,2
58,2
929307,3
12,3
34171223,2
25492,3
3152,3
464805597,1
3712263,3
253379466,3
10562,1
41,1
501,2
7137,2
8901,4
445571,3
8683,1
8899334,2
83374,2
93065377,3
410668,3
4654,4
827,3
5371,4
962770,3
35016,2
318843575,3
7200,4
3148,3
202,3
405638790,2
110061412,3
84,1
141,2
886143,2
348386816,2
555959,2
2111524,2
9127,4
833993,2
62721047,1
74802,2
14097068,4
726885,2
47705361,2
39551,3
476058705,4
227557,4
6763016,2
762856368,2
5215190,1
562954385,4
702885,3
7800,2
895012,2
4324098,2
9147659,4
3214,4
964157047,3
622027608,3
551310,3
60228,2
6727565,3
582203,4
8459,2
2497,1
34762019,3
716934589,2
447,2
23151218,4
1133,4
88,1
7726958,2
177817,3
562374823,3
922,4
13053650,4
812006,2
70941745,2
9150,4
17565,2
62091,4
1340,2
5847890,2
171,3
3867963,4
799350830,4
548,3
88191314,3
86047357,3
7499,2
35212642,1
82193,2
89349,2
665,3
327545,4
7494727,1
425,3
150,1
19119,3
414888,3
96478698,3
70,1
5868,3
325677588,2
69501123,2
735776791,3
63852572,2
65499161,2
34,3
4205385,3
6155564,3
272216,3
629370695,4
9048,3
5844,3
4919045,4
1949308,3
538490,2
96173856,2
316090,3
283901844,2
274,2
7,2
69,1
7326,3
5773825,2
2070348,3
74364,4
45,3
9421,1
210743,4
573665128,3
30283,2
28110,2
8675,2
185,2
33354,1
6900804,2
81729240,2
29938395,2
937285,4
947,4
4991,4
47,3
287,2
95371,2
9890347,1
36247793,1
476,1
41467,4
47836,1
923,2
549,2
38890409,3
9030,3
6190328,3
8695107,4
182144,2
23619,2
92912121,3
41941245,3
8896612,4
8261,3
7957489,2
8715,4
85,3
94,3
539,2
491,2
38,3
700400,4
14,1
338,1
596671,2
674709031,3
53683,2
2945615,1
554128089,4
66,4
17466,2
806,4
164812558,2
1880205,2
62899,2
433,3
1569,2
86,1
997,3
80621754,2
29850053,1
12810469,2
264,2
843426864,3
7141,2
707154587,3
32808,2
184989,2
383025,4
638810938,1
72467,3
139018922,4
3788103,2
3305139,2
5115,2
57,3
792778511,2
42809,2
560409951,2
232,2
97237797,2
37539207,1
193023446,2
1080,2
21230619,2
820247,2
6831928,1
254,3
735,3
55723298,4
146658197,4
17,3
20916,3
23059,3
1065048,2
985963330,3
38010,2
5129224,2
8181667,4
83,3
3212951,2
912012,1
672,1
11739109,2
873119,4
14466675,2
84407,3
7887,2
1839,2
263007,3
373,3
456543920,3
1720,3
80681723,2
30,4
8079,2
341773655,3
28418,1
54,3
55,1
6372,4
18119700,3
497605839,4
16656863,3
990,3
35445169,2
87328760,1
974530837,3
609815,4
271016,2
4155109,2
644386712,4
442378317,2
62993,1
849285,1
641219,3
666068,2
27451204,3
14290217,4
52391853,4
673925,4
80,3
66267772,2
7756048,2
409382,4
1997,4
970,2
2219,2
261811,3
216482,4
99992,3
5255545,3
85807,3
6549,4
608786,4
911,3
10938,4
52451,3
853,1
3753703,2
4487870,1
32745,1
66210,1
3965,3
2940654,4
3706,2
197305257,2
5914,1
829,3
876280117,3
1979,2
647,1
18,4
514549515,4
9917,4
861,1
375149,3
3796437,3
908,3
778095231,1
733356587,3
48921519,3
6294917,3
78423366,4
179393757,4
419,3
130,2
1042018,1
601,3
935010038,3
45163,2
7731499,3
21694,3
87,3
942549021,3
35758768,3
573936,1
648,4
320676977,2
41760803,2
53197176,3
80987088,2
7318698,2
59,3
13228,3
8980329,4
14479,4
891327516,4
3296328,3
1543796,2
54761191,1
7825403,1
878,1
5859,3
9920589,2
9766690,2
824,3
577754600,1
317134,2
2573447,2
704609,2
56423,3
1445497,2
3746696,2
99361183,2
54081,1
62415,2
182,3
26709670,1
153008140,4
826407,1
275,1
72751333,3
548104,4
46,4
845630,2
983712,3
397,4
51705580,2
16939,3
8894930,3
6781,2
395136,3
60613624,2
234225938,2
812165555,1
4887,1
9920199,2
767194,3
837418,1
76625,3
65516106,2
794615475,2
390722218,4
31304663,1
70753981,1
90206,1
395035332,1
96146873,2
8596,2
37,3
87213,2
792,3
780638472,4
60931247,2
5525601,3
3093,2
371003,3
19053123,2
38799982,3
270863717,3
863506276,3
987029310,2
1658491,2
39026147,2
98945737,3
569938,1
547187923,2
65855942,3
51327,3
6708632,1
5586124,4
811,2
91,3
5668,2
98470911,1
9745218,2
746078,2
202075749,2
795,2
361110277,1
968389496,3
33,1
271469,2
55488,2
1543186,2
792083580,3
73259749,3
702480,2
627080,2
95604,2
619,4
1813,2
80574,1
217,4
296026193,4
27881,3
531404247,2
868556,3
6799,2
441,2
48516,4
7722,2
230305,4
544145,2
721217215,1
3612,2
6205428,2
43661,4
947856,2
729,1
93636911,2
6675649,1
94007658,1
76721,1
5546,2
184996,3
2544122,2
481,3
5926,2
38799956,1
7844588,3
6053920,1
552957,4
10,1
3154978,2
69783,2
293,3
57634447,1
4484,4
9883,4
29957010,3
35434,2
27,4
47995740,1
11205477,2
92202,3
269378,4
639,3
614,2
532212415,2
70677437,2
23702,2
3131493,1
52986639,4
802631314,2
1336,3
1159096,3
34630294,2
369890233,2
939590191,1
77,4
64017145,2
2315,3
70337,3
28187,4
258305354,2
5783,3
543922,1
388920,2
747706180,1
8531429,2
1585040,2
4209735,1
965549145,3
579433,2
37130,2
15027,4
54876,3
67712,1
971,2
3455613,3
104504,4
59384377,3
8953,2
46669,3
6808,3
73736117,2
622,1
6631,4
1134,3
637626,1
7640424,4
951896,2
89935408,4
292,1
7779543,2
6970886,2
99262341,2
4086912,3
11537,1
660160,3
1844687,1
25018322,1
905,2
9347,2
829326,4
31510,4
2310,2
43,3
513,3
797827,1
178994,3
35,2
993,3
61800,3
328,1
903983580,3
832664,2
426149539,3
505,3
624,4
2784,4
8036246,4
65372,3
6182217,1
587093,4
490596,3
1244829,2
3344,3
962611696,2
7404296,4
434898504,2
51432,4
829826,3
183,3
75,2
460532,4
39711,4
68971329,2
791965576,4
62034,2
10792,2
821600329,2
58300,3
220816616,3
3517755,3
947720502,2
3572,2
588676466,2
2068,3
84612721,2
7072,4
196,3
1189177,2
871052,1
39201141,3
97711681,4
14001,2
25052,1
2714954,1
4437,4
2276169,2
82073,2
58766594,2
64760,2
5393574,1
4682,2
5397,2
50314344,2
595,4
541904455,4
6753322,3
76249,3
843310587,1
8399253,3
47725,2
60925,2
962,3
341908,4
69362,4
464229815,3
42793773,2
822628976,3
811222691,2
5877010,3
2432,4
3256,2
19259,2
859747,3
409433378,2
63302313,2
321131,3
89075377,1
6862,2
96994714,4
3090053,2
56496,2
92,3
1544019,4
22569080,3
